,1,,,2,,,3,,
1,1453.0272,1458.01587,4.98867,1471.1678,1492.70975,21.54195,1405.1814,1433.7528,28.5714
5,1410.17006,1458.46938,48.29932,1414.9319,1505.1814,90.2495,1450.7596,1516.0657,65.3061
10,1426.49659,1534.6598,108.16321,1509.9433,1517.1995,7.2562,1393.6169,1439.195,45.5781
20,1470.7142,1499.2857,28.5715,1475.9297,1526.9501,51.0204,1427.17687,1465.7256,38.54873
