,1,,,2,,,3,,
20,1382.05215,1383.63945,1.5873,1477.517,1479.33106,1.81406,1479.78458,1481.14512,1.36054
60,1498.37868,1501.30385,2.92517,1472.52834,1476.83673,4.30839,1486.5873,1491.12244,4.53514
100,1472.3015,1478.9705,6.669,1441.00907,1446.31746,5.30839,1486.30839,1492.25623,5.94784
150,1412.89115,1421.5079,8.61675,1451.8934,1460.5102,8.6168,1455.29478,1463.6848,8.39002
200,1342.14285,1352.57369,10.43084,1465.57823,1475.56689,9.98866,1407.448979,1417.81982,10.370841
